customer_identifier,total_transactions,average_spend,item_in_basket,treatment,total_transactions_post,average_spend_post
1032960,50,83.77,14,1,52,83.77
1113414,47,83.14,18,1,48,83.14
1034411,39,85.83,15,1,40,85.83
1438257,40,80.26,21,1,41,80.26
1410249,25,65.35,20,1,26,65.35
1155942,32,81.17,24,1,33,81.17
1457429,45,82.43,19,1,46,82.43
1280798,36,83.65,15,1,37,83.65
1047496,36,76.06,21,1,37,76.06
1142961,39,81.69,24,1,40,81.69
1231760,36,84.62,18,1,37,84.62
1105138,36,81.95,21,1,37,81.95
1362417,49,86.15,17,1,51,86.15
1399857,39,64.35,13,1,40,64.35
1138751,40,80.09,19,1,41,80.09
1342366,32,81.99,19,1,33,81.99
1040635,37,74.92,15,1,38,74.92
1069081,38,74.51,16,1,39,74.51
1143742,31,83.22,17,1,32,83.22
1117990,44,72.38,12,1,45,72.38
1232101,37,89.3,21,1,38,89.3
1369782,34,68.6,19,1,35,68.6
1104941,43,86.78,21,1,44,86.78
1230963,37,77.92,15,1,38,77.92
1115103,24,73.31,19,1,25,73.31
1380307,29,83.56,11,1,30,83.56
1312122,43,78.54,18,1,44,78.54
1198409,38,87.28,17,1,39,87.28
1470190,30,77.01,13,1,31,77.01
1400761,47,83.44,19,1,48,83.44
1270106,36,82.16,27,1,37,82.16
1143723,45,74.14,17,1,46,74.14
1091393,39,71.9,18,1,40,71.9
1164878,32,90.8,21,1,33,90.8
1228173,38,61.62,20,1,39,61.62
1147300,31,75.78,25,1,32,75.78
1156336,33,84.38,11,1,34,84.38
1234561,28,62.44,16,1,29,62.44
1019122,33,95.75,26,1,34,95.75
1449321,36,83.34,17,1,37,83.34
1337275,37,78.66,21,1,38,78.66
1191642,29,80.97,19,1,30,80.97
1009292,39,73.41,21,1,40,73.41
1344664,39,90.56,15,1,40,90.56
1057554,41,85.83,18,1,42,85.83
1299260,36,82.5,23,1,37,82.5
1295965,42,94.53,20,1,43,94.53
1491912,29,89.46,20,1,30,89.46
1050790,33,84.97,25,1,34,84.97
1068690,36,75.48,18,1,37,75.48
1116551,32,66.75,16,1,33,66.75
1025440,31,67.04,18,1,32,67.04
1326630,27,74.15,19,1,28,74.15
1066968,26,77.35,22,1,27,77.35
1112938,33,81.79,21,1,34,81.79
1471050,37,75.2,13,1,38,75.2
1131652,33,90.17,27,1,34,90.17
1129586,28,96.49,23,1,29,96.49
1055816,35,76.53,17,1,36,76.53
1116715,40,83.23,21,1,41,83.23
1341757,33,91.32,22,1,34,91.32
1023589,35,81.19,23,1,36,81.19
1384395,32,89.62,25,1,33,89.62
1470613,28,87.08,12,1,29,87.08
1284437,35,90.62,23,1,36,90.62
1444912,53,89.57,25,1,55,89.57
1497574,33,84.95,20,1,34,84.95
1191461,37,82.51,20,1,38,82.51
1285151,36,83.25,21,1,37,83.25
1038829,36,84.87,19,1,37,84.87
1291107,39,85.97,24,1,40,85.97
1248162,46,82.06,25,1,47,82.06
1130719,42,73.79,24,1,43,73.79
1294775,41,71.36,21,1,42,71.36
1098688,31,82.35,15,1,32,82.35
1207975,40,77.71,20,1,41,77.71
1081733,37,98.05,18,1,38,98.05
1449672,36,79.18,13,1,37,79.18
1005292,32,83.08,22,1,33,83.08
1128151,35,68.16,20,1,36,68.16
1384511,28,82.93,29,1,29,82.93
1449408,25,77.83,29,1,26,77.83
1039881,31,87.2,16,1,32,87.2
1214880,43,85.02,18,1,44,85.02
1091388,41,89.81,19,1,42,89.81
1315348,36,78.88,21,1,37,78.88
1198949,32,86.8,19,1,33,86.8
1210815,34,64.48,12,1,35,64.48
1313770,47,71.39,20,1,48,71.39
1437455,41,80.62,18,1,42,80.62
1062090,41,74.86,21,1,42,74.86
1064870,31,83.68,19,1,32,83.68
1031027,41,75.82,15,1,42,75.82
1482774,26,99.79,23,1,27,99.79
1362076,32,84.5,15,1,33,84.5
1297289,33,79.81,20,1,34,79.81
1245937,36,82.32,20,1,37,82.32
1004588,33,65.91,16,1,34,65.91
1012986,37,86.64,27,1,38,86.64
1415029,30,77.86,20,1,31,77.86
1184470,53,83.87,21,1,55,83.87
1209262,41,82.58,20,1,42,82.58
1204059,33,88.23,31,1,34,88.23
1235272,38,85.24,17,1,39,85.24
1195564,39,78.48,18,1,40,78.48
1199822,43,70.89,21,1,44,70.89
1497959,28,75.58,10,1,29,75.58
1337288,27,78.83,13,1,28,78.83
1297218,37,90.35,20,1,38,90.35
1186262,36,90.46,19,1,37,90.46
1043071,41,80.79,26,1,42,80.79
1068281,46,66.13,20,1,47,66.13
1085060,35,89.46,27,1,36,89.46
1084215,37,78.1,24,1,38,78.1
1350703,35,81.71,16,1,36,81.71
1214148,34,86.64,23,1,35,86.64
1169074,32,88.17,28,1,33,88.17
1127312,36,85.96,21,1,37,85.96
1286093,35,84.98,14,1,36,84.98
1415078,39,82.57,18,1,40,82.57
1368046,41,66.31,27,1,42,66.31
1099501,38,94.53,21,1,39,94.53
1306900,42,97.2,27,1,43,97.2
1421440,33,72.39,20,1,34,72.39
1326500,43,89.01,17,1,44,89.01
1448363,35,75.69,27,1,36,75.69
1008114,33,72.91,23,1,34,72.91
1477833,34,77.81,19,1,35,77.81
1168917,33,85.89,16,1,34,85.89
1248977,26,74.6,14,1,27,74.6
1227425,25,80.69,17,1,26,80.69
1151225,40,86.57,13,1,41,86.57
1105636,35,82.52,18,1,36,82.52
1385568,39,75.72,23,1,40,75.72
1026428,41,80.39,19,1,42,80.39
1127072,30,80.77,14,1,31,80.77
1445044,47,92.41,24,1,48,92.41
1362819,40,65.05,18,1,41,65.05
1443377,42,82.83,18,1,43,82.83
1498835,35,96.45,20,1,36,96.45
1369449,28,89.93,18,1,29,89.93
1325363,33,71.36,28,1,34,71.36
1132823,39,80.89,25,1,40,80.89
1225096,37,75.82,19,1,38,75.82
1239252,25,81.02,16,1,26,81.02
1402022,37,77.19,11,1,38,77.19
1302827,32,91.88,22,1,33,91.88
1060156,49,94.06,19,1,51,94.06
1233964,33,83.18,17,1,34,83.18
1234137,38,83.82,16,1,39,83.82
1144788,31,78.15,22,1,32,78.15
1044386,40,79.73,25,1,41,79.73
1380685,39,73.43,27,1,40,73.43
1373487,35,93.65,18,1,36,93.65
1034603,35,79.14,12,1,36,79.14
1139820,29,96.15,23,1,30,96.15
1217207,32,86.56,21,1,33,86.56
1219363,31,75.19,19,1,32,75.19
1421695,28,65.21,25,1,29,65.21
1094896,35,84.24,13,1,36,84.24
1259484,38,77.69,23,1,39,77.69
1351266,35,81.01,19,1,36,81.01
1310507,27,82.96,19,1,28,82.96
1390552,33,83.76,17,1,34,83.76
1126018,28,85.33,18,1,29,85.33
1237780,41,82.29,19,1,42,82.29
1142813,27,78.3,21,1,28,78.3
1441441,41,80.87,21,1,42,80.87
1425414,41,84.5,13,1,42,84.5
1252375,43,95.59,14,1,44,95.59
1107468,42,74.29,21,1,43,74.29
1126675,32,57.14,22,1,33,57.14
1091558,27,84.55,24,1,28,84.55
1134861,39,88.76,21,1,40,88.76
1363043,34,66.05,22,1,35,66.05
1196103,31,81.75,19,1,32,81.75
1138100,26,92.96,27,1,27,92.96
1491014,37,63.11,20,1,38,63.11
1292514,38,71.39,11,1,39,71.39
1387832,47,84.49,21,1,48,84.49
1362373,39,88.2,27,1,40,88.2
1197915,34,78.45,17,1,35,78.45
1319945,35,59.77,20,1,36,59.77
1442774,29,59.88,26,1,30,59.88
1234056,36,75.15,18,1,37,75.15
1171952,39,82.4,23,1,40,82.4
1266896,39,79.91,14,1,40,79.91
1194362,43,84.65,22,1,44,84.65
1039933,33,87.17,15,1,34,87.17
1323893,33,76.96,16,1,34,76.96
1424510,36,96.01,21,1,37,96.01
1101088,27,82.65,17,1,28,82.65
1299483,34,83.46,15,1,35,83.46
1405944,40,66.47,18,1,41,66.47
1292661,31,72.77,28,1,32,72.77
1061906,28,82.84,16,1,29,82.84
1164057,30,89.11,23,1,31,89.11
1275463,43,77.41,18,1,44,77.41
1435854,42,66.51,18,1,43,66.51
1477412,26,63.54,21,1,27,63.54
1208375,36,76.85,16,1,37,76.85
1090829,42,79.44,20,1,43,79.44
1455583,30,85.91,20,1,31,85.91
1424888,40,84.91,18,1,41,84.91
1326547,49,83.97,17,1,51,83.97
1400012,29,75.71,9,1,30,75.71
1106562,36,85.13,18,1,37,85.13
1048922,40,84.3,21,1,41,84.3
1473843,33,85.04,21,1,34,85.04
1409698,44,72.69,18,1,45,72.69
1128305,40,78.78,28,1,41,78.78
1245069,44,75.57,15,1,45,75.57
1406524,36,76.14,16,1,37,76.14
1109639,31,64.2,17,1,32,64.2
1090651,33,76.09,16,1,34,76.09
1245267,37,75.6,16,1,38,75.6
1441342,29,92.17,24,1,30,92.17
1231024,31,68.93,16,1,32,68.93
1485026,42,96.63,25,1,43,96.63
1108092,26,76.5,20,1,27,76.5
1151049,36,79.4,23,1,37,79.4
1358455,34,75.02,25,1,35,75.02
1067286,47,80.17,18,1,48,80.17
1151906,27,75.48,12,1,28,75.48
1232360,39,72.63,18,1,40,72.63
1405964,28,76.94,19,1,29,76.94
1030104,42,81.23,19,1,43,81.23
1409989,36,75.03,25,1,37,75.03
1246245,34,74.65,26,1,35,74.65
1479867,34,70.54,22,1,35,70.54
1375511,43,73.69,21,1,44,73.69
1445548,26,81.38,24,1,27,81.38
1387807,36,64.9,16,1,37,64.9
1450857,38,82.43,20,1,39,82.43
1445397,32,71.97,20,1,33,71.97
1499575,27,75.69,22,1,28,75.69
1219334,36,82.03,17,1,37,82.03
1127938,37,71.75,21,1,38,71.75
1249181,37,84.82,19,1,38,84.82
1319285,31,66.23,19,1,32,66.23
1277482,27,75.8,14,1,28,75.8
1450303,36,71.27,20,1,37,71.27
1117051,27,78.45,19,1,28,78.45
1169616,27,79.49,25,1,28,79.49
1467263,31,71.23,17,1,32,71.23
1463849,44,85.23,25,1,45,85.23
1458308,25,69.91,19,1,26,69.91
1064609,34,65.56,22,1,35,65.56
1403470,22,80.7,22,1,23,80.7
1133202,28,67.44,19,1,29,67.44
1465190,28,88.35,19,1,29,88.35
1108708,35,79.97,33,1,36,79.97
1329845,33,88.23,26,1,34,88.23
1085578,32,77.53,26,1,33,77.53
1283768,40,84.49,18,1,41,84.49
1414939,36,76.67,20,1,37,76.67
1105606,33,86.91,29,1,34,86.91
1438329,32,78.44,18,1,33,78.44
1426407,28,90.83,22,1,29,90.83
1219947,25,92.78,22,1,26,92.78
1110917,44,66.79,16,1,45,66.79
1064677,38,67.96,14,1,39,67.96
1133512,24,68.97,24,1,25,68.97
1377020,42,86.67,22,1,43,86.67
1453952,24,81.65,14,1,25,81.65
1051827,26,71.94,19,1,27,71.94
1013895,38,72,11,1,39,72
1188008,31,77.27,21,1,32,77.27
1071545,27,87.39,21,1,28,87.39
1413834,43,71.67,22,1,44,71.67
1412557,36,75.8,24,1,37,75.8
1440945,30,70.78,12,1,31,70.78
1079859,31,74.34,23,1,32,74.34
1142737,38,106.32,15,1,39,106.32
1051806,29,89.76,26,1,30,89.76
1498068,34,82.75,14,1,35,82.75
1177405,31,79.66,20,1,32,79.66
1051966,36,68.46,23,1,37,68.46
1448533,36,79.41,20,1,37,79.41
1191575,32,79.76,15,1,33,79.76
1268312,43,69.39,15,1,44,69.39
1183990,35,71.85,30,1,36,71.85
1197869,35,73.01,23,1,36,73.01
1180082,31,74.04,14,1,32,74.04
1247795,43,87.77,17,1,44,87.77
1091711,34,62.11,18,1,35,62.11
1044381,32,78.16,24,1,33,78.16
1161532,30,69,22,1,31,69
1420513,39,71.75,27,1,40,71.75
1162485,32,88.93,11,1,33,88.93
1461168,39,88,12,1,40,88
1279206,31,84.82,21,1,32,84.82
1272934,40,85.63,23,1,41,85.63
1480161,38,72.19,16,1,39,72.19
1238429,38,76.01,25,1,39,76.01
1069089,31,68.82,15,1,32,68.82
1105602,37,76.42,15,1,38,76.42
1144794,32,66.71,20,1,33,66.71
1313342,30,79.32,16,1,31,79.32
1435458,35,59.11,26,1,36,59.11
1151190,38,79.17,24,1,39,79.17
1405134,36,81.01,18,1,37,81.01
1107586,43,86.28,21,1,44,86.28
1321394,40,87.3,23,1,41,87.3
1067126,41,83.29,23,1,42,83.29
1162473,37,77.45,10,1,38,77.45
1369496,37,73.1,21,1,38,73.1
1484592,29,81.34,17,1,30,81.34
1014015,31,85.72,21,1,32,85.72
1391594,41,83.02,23,1,42,83.02
1100419,40,73.22,27,1,41,73.22
1125228,35,90.84,12,1,36,90.84
1228142,25,82.68,21,1,26,82.68
1458891,40,80.67,27,1,41,80.67
1327225,32,86.97,26,1,33,86.97
1331926,52,80.39,17,1,54,80.39
1102368,49,69.27,20,1,51,69.27
1075093,29,86.12,22,1,30,86.12
1311729,40,59.6,20,1,41,59.6
1061151,33,75.53,23,1,34,75.53
1411333,45,68.72,23,1,46,68.72
1357873,31,86.71,24,1,32,86.71
1412400,34,82.66,27,1,35,82.66
1350780,51,77.99,17,1,53,77.99
1470012,31,81.69,22,1,32,81.69
1377543,38,71.91,19,1,39,71.91
1343017,29,77.83,18,1,30,77.83
1183878,30,65.19,18,1,31,65.19
1465713,31,65.41,17,1,32,65.41
1101410,35,73.43,23,1,36,73.43
1263632,39,79.71,18,1,40,79.71
1350842,32,83.42,25,1,33,83.42
1058540,33,72.43,18,1,34,72.43
1159666,30,73.47,16,1,31,73.47
1233233,32,91.81,13,1,33,91.81
1270625,42,71.36,25,1,43,71.36
1323095,28,72.17,20,1,29,72.17
1156716,47,76.84,15,1,48,76.84
1412126,40,77.31,15,1,41,77.31
1393442,41,88.92,25,1,42,88.92
1311485,45,82.14,18,1,46,82.14
1024244,35,89.61,15,1,36,89.61
1300713,36,72.28,17,1,37,72.28
1183827,38,84.02,25,1,39,84.02
1499484,32,56.99,23,1,33,56.99
1254572,32,82.13,17,1,33,82.13
1342011,36,67.96,25,1,37,67.96
1378660,30,87.89,19,1,31,87.89
1238420,40,92.6,19,1,41,92.6
1228854,34,80.45,20,1,35,80.45
1212790,30,75.37,19,1,31,75.37
1497928,44,85.37,16,1,45,85.37
1443403,38,88.27,28,1,39,88.27
1238088,39,76.93,23,1,40,76.93
1002870,38,80.88,20,1,39,80.88
1468577,40,77.28,13,1,41,77.28
1380118,29,77.25,18,1,30,77.25
1286947,39,81.56,21,1,40,81.56
1278021,38,91.55,20,1,39,91.55
1173691,37,83.48,25,1,38,83.48
1248661,27,72.46,21,1,28,72.46
1382307,37,67.96,10,1,38,67.96
1391797,34,78.96,16,1,35,78.96
1049191,46,84.94,25,1,47,84.94
1158353,30,74.05,22,1,31,74.05
1171393,34,73.25,23,1,35,73.25
1289071,37,84.86,13,1,38,84.86
1278312,26,90.92,28,1,27,90.92
1074814,37,71.8,26,1,38,71.8
1345987,34,97.63,23,1,35,97.63
1302667,33,93.84,18,1,34,93.84
1269063,47,78.7,16,1,48,78.7
1173278,27,65.71,19,1,28,65.71
1305755,35,90.6,16,1,36,90.6
1240484,22,76.71,25,1,23,76.71
1127728,39,57.05,15,1,40,57.05
1162284,32,93.02,24,1,33,93.02
1275062,42,73.66,24,1,43,73.66
1319653,45,84.99,24,1,46,84.99
1312353,36,78.94,21,1,37,78.94
1462259,40,82.15,18,1,41,82.15
1232176,41,87.88,17,1,42,87.88
1375399,39,84.43,22,1,40,84.43
1007144,26,90.21,13,1,27,90.21
1269623,29,87.02,21,1,30,87.02
1194844,35,90.65,15,1,36,90.65
1214481,39,73.79,16,1,40,73.79
1374048,39,71.08,25,1,40,71.08
1177059,30,80.78,20,1,31,80.78
1128208,46,82.44,18,1,47,82.44
1149188,26,100.49,18,1,27,100.49
1391351,40,69.17,21,1,41,69.17
